0.3688, 0.3446, 0.4355, 0.5388, 0.6597, 0.8079, 0.3783, 0.4858, 0.6258, 0.7701, 0.8909, 1.2534, 2.1640, 3.5640, 4.5119, 5.7601, 7.9600, 23.8433, 0.3688, 0.3446, 0.4355, 0.5388, 0.6597, 0.8079, 0.3783, 0.4858, 0.6258, 0.7701, 0.8909, 1.2534, 2.1640, 3.5640, 4.5119, 5.7601, 7.9600, 23.8433
0.001, -9.9000e+01, 2.2960e+09, 8.0741e+09, 1.5605e+10, 2.2510e+10, 3.0189e+10, 3.6847e+09, 1.1739e+10, 2.0995e+10, 2.8056e+10, 3.4579e+10, 4.4773e+10, 4.0740e+10, 1.9747e+10, 1.2773e+10, 9.1742e+09, 6.5171e+09, 3.2408e+09, -99.0000, 0.4976, -0.8677, -1.5831, -1.9809, -2.2996, -0.0160, -1.2741, -1.9053, -2.2201, -2.4470, -2.7275, -2.6251, -1.8388, -1.3658, -1.0064, -0.6351, 0.1234
0.002, -9.9000e+01, 5.7112e+08, 2.0078e+09, 3.8895e+09, 5.6182e+09, 7.5307e+09, 9.1713e+08, 2.9248e+09, 5.2379e+09, 7.0001e+09, 8.6287e+09, 1.1182e+10, 1.0194e+10, 4.9405e+09, 3.1982e+09, 2.2946e+09, 1.6302e+09, 8.1044e+08, -99.0000, 2.0082, 0.6432, -0.0747, -0.4740, -0.7921, 1.4939, 0.2347, -0.3979, -0.7128, -0.9399, -1.2213, -1.1209, -0.3344, 0.1377, 0.4982, 0.8694, 1.6282
0.004, -9.9000e+01, 1.4132e+08, 4.9633e+08, 9.6651e+08, 1.3999e+09, 1.8745e+09, 2.2535e+08, 7.2562e+08, 1.3039e+09, 1.7433e+09, 2.1496e+09, 2.7902e+09, 2.5524e+09, 1.2370e+09, 8.0203e+08, 5.7418e+08, 4.0800e+08, 2.0274e+08, -99.0000, 3.5245, 2.1606, 1.4370, 1.0347, 0.7178, 3.0178, 1.7482, 1.1119, 0.7966, 0.5691, 0.2859, 0.3826, 1.1691, 1.6395, 2.0024, 2.3734, 3.1327
0.006, -9.9000e+01, 6.2156e+07, 2.1814e+08, 4.2695e+08, 6.2016e+08, 8.2955e+08, 9.8635e+07, 3.2023e+08, 5.7710e+08, 7.7181e+08, 9.5206e+08, 1.2377e+09, 1.1359e+09, 5.5059e+08, 3.5756e+08, 2.5543e+08, 1.8154e+08, 9.0159e+07, -99.0000, 4.4163, 3.0532, 2.3241, 1.9187, 1.6029, 3.9149, 2.6363, 1.9969, 1.6812, 1.4533, 1.1684, 1.2616, 2.0479, 2.5166, 2.8818, 3.2526, 4.0125
0.008, -9.9000e+01, 3.4603e+07, 1.2135e+08, 2.3870e+08, 3.4769e+08, 4.6462e+08, 5.4895e+07, 1.7879e+08, 3.2328e+08, 4.3247e+08, 5.3367e+08, 6.9488e+08, 6.3971e+08, 3.1016e+08, 2.0176e+08, 1.4381e+08, 1.0223e+08, 5.0744e+07, -99.0000, 5.0522, 3.6899, 2.9554, 2.5470, 2.2323, 4.5512, 3.2691, 2.6261, 2.3101, 2.0818, 1.7952, 1.8850, 2.6710, 3.1379, 3.5056, 3.8761, 4.6365
0.010, -9.9000e+01, 2.1922e+07, 7.6803e+07, 1.5184e+08, 2.2178e+08, 2.9608e+08, 3.4462e+07, 1.1360e+08, 2.0603e+08, 2.7572e+08, 3.4036e+08, 4.4386e+08, 4.0984e+08, 1.9880e+08, 1.2953e+08, 9.2122e+07, 6.5502e+07, 3.2495e+07, -99.0000, 5.5478, 4.1866, 3.4466, 3.0352, 2.7215, 5.0566, 3.7615, 3.1152, 2.7988, 2.5702, 2.2819, 2.3685, 3.1540, 3.6191, 3.9891, 4.3594, 5.1205
0.015, -9.9000e+01, 9.4941e+06, 3.3179e+07, 6.6469e+07, 9.7737e+07, 1.3020e+08, 1.4772e+07, 4.9576e+07, 9.0627e+07, 1.2137e+08, 1.4997e+08, 1.9633e+08, 1.8254e+08, 8.8677e+07, 5.8023e+07, 4.1038e+07, 2.9197e+07, 1.4462e+07, -99.0000, 6.4564, 5.0978, 4.3434, 3.9248, 3.6135, 5.9764, 4.6618, 4.0069, 3.6897, 3.4600, 3.1675, 3.2466, 4.0305, 4.4910, 4.8670, 5.2367, 5.9994
0.020, -9.9000e+01, 5.2040e+06, 1.8138e+07, 3.6834e+07, 5.4492e+07, 7.2466e+07, 8.0203e+06, 2.7382e+07, 5.0450e+07, 6.7607e+07, 8.3609e+07, 1.0994e+08, 1.0285e+08, 5.0057e+07, 3.2898e+07, 2.3136e+07, 1.6473e+07, 8.1458e+06, -99.0000, 7.1092, 5.7535, 4.9844, 4.5592, 4.2497, 6.6395, 5.3063, 4.6429, 4.3250, 4.0944, 3.7971, 3.8695, 4.6513, 5.1071, 5.4893, 5.8581, 6.6227
0.030, -9.9000e+01, 2.1993e+06, 7.6104e+06, 1.5902e+07, 2.3767e+07, 3.1552e+07, 3.3378e+06, 1.1725e+07, 2.1954e+07, 2.9456e+07, 3.6466e+07, 4.8432e+07, 4.5845e+07, 2.2399e+07, 1.4854e+07, 1.0328e+07, 7.3685e+06, 3.6291e+06, -99.0000, 8.0443, 6.6965, 5.8964, 5.4601, 5.1524, 7.5914, 6.2272, 5.5462, 5.2271, 4.9953, 4.6872, 4.7468, 5.5244, 5.9704, 6.3650, 6.7316, 7.5005
0.040, -9.9000e+01, 1.1773e+06, 4.0375e+06, 8.6954e+06, 1.3113e+07, 1.7402e+07, 1.7789e+06, 6.3427e+06, 1.2082e+07, 1.6239e+07, 2.0098e+07, 2.7009e+07, 2.5864e+07, 1.2682e+07, 8.4860e+06, 5.8334e+06, 4.1729e+06, 2.0457e+06, -99.0000, 8.7228, 7.3847, 6.5518, 6.1057, 5.7985, 8.2746, 6.8943, 6.1947, 5.8736, 5.6421, 5.3212, 5.3683, 6.1420, 6.5782, 6.9852, 7.3489, 8.1229
0.050, -9.9000e+01, 7.1604e+05, 2.4333e+06, 5.4112e+06, 8.2337e+06, 1.0922e+07, 1.0882e+06, 3.8945e+06, 7.5664e+06, 1.0190e+07, 1.2594e+07, 1.7138e+07, 1.6604e+07, 8.1677e+06, 5.5149e+06, 3.7490e+06, 2.6887e+06, 1.3118e+06, -99.0000, 9.2627, 7.9345, 7.0668, 6.6110, 6.3042, 8.8082, 7.4239, 6.7028, 6.3795, 6.1496, 5.8151, 5.8494, 6.6197, 7.0462, 7.4652, 7.8261, 8.6054
0.060, -9.9000e+01, 4.7109e+05, 1.5889e+06, 3.6550e+06, 5.6106e+06, 7.4393e+06, 7.2283e+05, 2.5927e+06, 5.1403e+06, 6.9426e+06, 8.5673e+06, 1.1804e+07, 1.1573e+07, 5.7063e+06, 3.8875e+06, 2.6154e+06, 1.8794e+06, 9.1246e+05, -99.0000, 9.7172, 8.3973, 7.4928, 7.0275, 6.7212, 9.2524, 7.8656, 7.1225, 6.7962, 6.5679, 6.2199, 6.2414, 7.0091, 7.4258, 7.8562, 8.2149, 8.9995
0.070, -9.9000e+01, 3.2745e+05, 1.0972e+06, 2.6121e+06, 4.0437e+06, 5.3646e+06, 5.0861e+05, 1.8259e+06, 3.6913e+06, 5.0080e+06, 6.1704e+06, 8.6006e+06, 8.5319e+06, 4.2168e+06, 2.8985e+06, 1.9304e+06, 1.3897e+06, 6.7135e+05, -99.0000, 10.1121, 8.7993, 7.8575, 7.3830, 7.0762, 9.6340, 8.2463, 7.4820, 7.1508, 6.9242, 6.5637, 6.5724, 7.3375, 7.7446, 8.1859, 8.5427, 9.3326
0.080, -9.9000e+01, 2.3644e+05, 7.9125e+05, 1.9455e+06, 3.0355e+06, 4.0345e+06, 3.7312e+05, 1.3406e+06, 2.7585e+06, 3.7665e+06, 4.6370e+06, 6.5304e+06, 6.5537e+06, 3.2464e+06, 2.2518e+06, 1.4847e+06, 1.0709e+06, 5.1465e+05, -99.0000, 10.4657, 9.1542, 8.1774, 7.6944, 7.3855, 9.9704, 8.5818, 7.7983, 7.4601, 7.2344, 6.8627, 6.8588, 7.6215, 8.0187, 8.4709, 8.8256, 9.6212
0.090, -9.9000e+01, 1.7613e+05, 5.9091e+05, 1.4945e+06, 2.3509e+06, 3.1333e+06, 2.8247e+05, 1.0167e+06, 2.1244e+06, 2.9241e+06, 3.6057e+06, 5.1183e+06, 5.1981e+06, 2.5785e+06, 1.8052e+06, 1.1784e+06, 8.5162e+05, 4.0707e+05, -99.0000, 10.7854, 9.4712, 8.4638, 7.9719, 7.6600, 10.2726, 8.8821, 8.0819, 7.7350, 7.5075, 7.1272, 7.1104, 7.8716, 8.2587, 8.7218, 9.0744, 9.8758
0.100, -9.9000e+01, 1.3436e+05, 4.5354e+05, 1.1752e+06, 1.8666e+06, 2.4958e+06, 2.1894e+05, 7.9056e+05, 1.6768e+06, 2.3278e+06, 2.8805e+06, 4.1112e+06, 4.2294e+06, 2.0995e+06, 1.4837e+06, 9.5883e+05, 6.9433e+05, 3.3003e+05, -99.0000, 11.0793, 9.7585, 8.7247, 8.2224, 7.9070, 10.5492, 9.1552, 8.3388, 7.9826, 7.7513, 7.3651, 7.3343, 8.0947, 8.4717, 8.9456, 9.2961, 10.1036
0.150, -9.9000e+01, 4.4668e+04, 1.5685e+05, 4.5070e+05, 7.4402e+05, 1.0167e+06, 7.7277e+04, 2.8272e+05, 6.5782e+05, 9.4725e+05, 1.1724e+06, 1.7489e+06, 1.9340e+06, 9.5513e+05, 7.0454e+05, 4.3858e+05, 3.1862e+05, 1.4694e+05, -99.0000, 12.2750, 10.9113, 9.7653, 9.2210, 8.8820, 11.6799, 10.2716, 9.3547, 8.9588, 8.7273, 8.2931, 8.1838, 8.9498, 9.2802, 9.7949, 10.1418, 10.9821
0.170, -9.9000e+01, 3.0478e+04, 1.0907e+05, 3.2947e+05, 5.5411e+05, 7.6663e+05, 5.5060e+04, 2.0044e+05, 4.8798e+05, 7.1583e+05, 8.7803e+05, 1.3379e+06, 1.5278e+06, 7.4954e+05, 5.6049e+05, 3.4777e+05, 2.5109e+05, 1.1437e+05, -99.0000, 12.6900, 11.3057, 10.1055, 9.5410, 9.1885, 12.0479, 10.6451, 9.6790, 9.2630, 9.0412, 8.5840, 8.4398, 9.2130, 9.5286, 10.0468, 10.4004, 11.2542
0.190, -9.9000e+01, 2.1383e+04, 7.7439e+04, 2.4638e+05, 4.2307e+05, 5.9601e+05, 3.9773e+04, 1.4613e+05, 3.7252e+05, 5.5706e+05, 6.8062e+05, 1.0512e+06, 1.2418e+06, 6.0423e+05, 4.5685e+05, 2.8471e+05, 2.0334e+05, 9.1499e+04, -99.0000, 13.0748, 11.6776, 10.4210, 9.8340, 9.4619, 12.4010, 10.9882, 9.9721, 9.5353, 9.3177, 8.8457, 8.6649, 9.4470, 9.7506, 10.2640, 10.6294, 11.4965
