,decoder$$$weight,decoder3$$$fc4.bias,decoder3$$$fc4.weight,decoder3$$$fc2.bias,decoder3$$$fc2.weight,ff_param
0,41.57218933105469,2.7480557969473536e+16,3.749368151461069e+16,1.0804157736812544e+16,1.082792930705408e+16,4113.8125
1,43.98843002319336,7167792000270336.0,1.0688760555503616e+16,2339202935029760.0,2341310690230272.0,3766.59765625
2,44.71536636352539,3.4630228965851136e+16,5.543284508196864e+16,2.3514157819101184e+16,2.3544649939419136e+16,4122.88623046875
3,41.33539581298828,2.357308691788595e+16,4.28301697899561e+16,6989610987028480.0,7015100544188416.0,4164.744140625
4,44.23883056640625,9.910219564698829e+16,1.9254647625613312e+17,1.0015279618719744e+17,1.0019508443519386e+17,4495.810546875
5,44.11267852783203,4.215566665095578e+16,9.401728937597338e+16,1.344785398890496e+16,1.3494156957581312e+16,5396.4384765625
6,44.38783645629883,2.086553309203661e+16,5.177907774855578e+16,1.044688517726208e+16,1.047769083019264e+16,5817.07470703125
7,49.57595443725586,2.178655446892544e+16,5.975157213705011e+16,5156261783928832.0,5180921875529728.0,7695.42724609375
8,47.74150466918945,5.372872661296742e+16,1.604564391255081e+17,2.911410153586688e+16,2.913694861439795e+16,8235.9169921875
9,49.716583251953125,2.5330027042177024e+16,8.193954928184525e+16,1.2154120718778368e+16,1.2176480318521344e+16,9420.37109375
10,43.224571228027344,467166746902528.0,1633051255767040.0,190471330594816.0,190914903408640.0,13883.169921875
11,50.176361083984375,3143370868260864.0,1.1728268268929024e+16,1115413677080576.0,1119139829645312.0,14374.16796875
12,50.68735122680664,3180116192526336.0,1.2547257328992256e+16,1030271788908544.0,1032025410633728.0,17227.068359375
13,56.83669662475586,1.280636304228352e+16,5.313385216763494e+16,3126346691641344.0,3148089158270976.0,11611.0537109375
14,56.518470764160156,1551870065639424.0,6685077941518336.0,673778430377984.0,676745984344064.0,13470.759765625
15,56.79088592529297,2172808654225408.0,9708918527754240.0,1820641602830336.0,1821934119550976.0,26356.048828125
16,58.838462829589844,318353713397760.0,1465455323643904.0,221736545026048.0,221910021439488.0,20017.197265625
17,58.541866302490234,9169058318516224.0,4.351727436300288e+16,5507618026029056.0,5514887795048448.0,36175.30078125
18,67.69664764404297,7492246714712064.0,3.624178444717261e+16,4187680355123200.0,4191154178359296.0,18089.685546875
19,69.2375717163086,6019833141395456.0,2.990626530394112e+16,3769071904489472.0,3775183642951680.0,32571.521484375
20,72.11810302734375,217067747803136.0,1099305133801472.0,137501767368704.0,139021288210432.0,29341.599609375
21,72.51016235351562,710268472524800.0,3660480098861056.0,336514680619008.0,337352736112640.0,22914.306640625
22,79.4677505493164,1.834430997987328e+16,9.44071435574313e+16,7487939399385088.0,7527486384504832.0,24986.822265625
23,78.92353820800781,275537469636608.0,1438897527586816.0,91204058349568.0,91272912044032.0,19867.80859375
24,94.27915954589844,3511210926407680.0,1.853656345346048e+16,2203012072210432.0,2203743693045760.0,29173.443359375
25,95.75386810302734,856612034052096.0,4550719713574912.0,492609025867776.0,493032482799616.0,35025.29296875
26,95.93145751953125,481576026636288.0,2611736863571968.0,183559738359808.0,187137311899648.0,33080.2421875
27,129.5034637451172,43824130818048.0,236896756170752.0,17833681485824.0,17839710797824.0,53922.50390625
28,153.93084716796875,1129626468352.0,6131761545216.0,773336334336.0,775190806528.0,37906.6015625
