# Ell2 Log(L(8-1000um))=14.0 L_sun, Fluxes in uJy and mags in AB (Optical filters from Loiano (Ul), VVDS (UBVRI) and CFHTLS (Ugriz+p)
#          z      F(Ul)       F(U)       F(B)       F(V)       F(R)       F(I)      F(Up)      F(gp)      F(rp)      F(ip)      F(zp)       F(J)      F(Ks)     F(3.6)     F(4.5)     F(5.8)     F(8.0)      F(24)   mag(Ul)    mag(U)    mag(B)    mag(V)    mag(R)    mag(I)   mag(Up)   mag(gp)   mag(rp)   mag(ip)   mag(zp)    mag(J)   mag(Ks)  mag(3.6)  mag(4.5)  mag(5.8)  mag(8.0)   mag(24)
# lambda(um)     0.3688     0.3446     0.4355     0.5388     0.6597     0.8079     0.3783     0.4858     0.6258     0.7701     0.8909     1.2534     2.1640     3.5640     4.5119     5.7601     7.9600    23.8433    0.3688    0.3446    0.4355    0.5388    0.6597    0.8079    0.3783    0.4858    0.6258    0.7701    0.8909    1.2534    2.1640    3.5640    4.5119    5.7601    7.9600   23.8433
          z      F(Ul)       F(U)       F(B)       F(V)       F(R)       F(I)      F(Up)      F(gp)      F(rp)      F(ip)      F(zp)       F(J)      F(Ks)     F(3.6)     F(4.5)     F(5.8)     F(8.0)      F(24)   mag(Ul)    mag(U)    mag(B)    mag(V)    mag(R)    mag(I)   mag(Up)   mag(gp)   mag(rp)   mag(ip)   mag(zp)    mag(J)   mag(Ks)  mag(3.6)  mag(4.5)  mag(5.8)  mag(8.0)   mag(24)
       0.050 -9.9000e+01  9.1925e+05  2.9936e+06  5.6773e+06  7.7216e+06  9.3447e+06  1.3830e+06  4.4067e+06  7.2633e+06  8.9364e+06  1.0203e+07  1.2706e+07  1.1262e+07  5.6157e+06  3.9481e+06  2.8623e+06  2.2702e+06  1.7933e+06   -99.0000     8.9914     7.7095     7.0146     6.6807     6.4736     8.5480     7.2897     6.7472     6.5221     6.3782     6.1400     6.2709     7.0265     7.4090     7.7582     8.0098     8.2658
       0.060 -9.9000e+01  6.1014e+05  1.9684e+06  3.8579e+06  5.2802e+06  6.3987e+06  9.1277e+05  2.9542e+06  4.9591e+06  6.1179e+06  6.9820e+06  8.7620e+06  7.8498e+06  3.9191e+06  2.7764e+06  1.9919e+06  1.5812e+06  1.2456e+06   -99.0000     9.4364     8.1647     7.4341     7.0934     6.8848     8.9991     7.7239     7.1615     6.9335     6.7901     6.5435     6.6628     7.4170     7.7913     8.1518     8.4025     8.6616
       0.070 -9.9000e+01  4.2773e+05  1.3686e+06  2.7736e+06  3.8189e+06  4.6369e+06  6.3734e+05  2.0953e+06  3.5781e+06  4.4311e+06  5.0581e+06  6.3926e+06  5.7869e+06  2.8931e+06  2.0652e+06  1.4668e+06  1.1650e+06  9.1501e+05   -99.0000     9.8221     8.5593     7.7924     7.4452     7.2344     9.3891     8.0969     7.5159     7.2837     7.1400     6.8858     6.9939     7.7466     8.1126     8.4841     8.7341     8.9964
       0.080 -9.9000e+01  3.1126e+05  9.9254e+05  2.0780e+06  2.8777e+06  3.5027e+06  4.6422e+05  1.5489e+06  2.6874e+06  3.3451e+06  3.8212e+06  4.8600e+06  4.4443e+06  2.2251e+06  1.6009e+06  1.1257e+06  8.9457e+05  7.0030e+05   -99.0000    10.1672     8.9081     8.1059     7.7524     7.5390     9.7332     8.4249     7.8267     7.5890     7.4445     7.1834     7.2805     8.0316     8.3891     8.7715     9.0210     9.2868
       0.090 -9.9000e+01  2.3374e+05  7.4418e+05  1.6062e+06  2.2383e+06  2.7313e+06  3.4981e+05  1.1816e+06  2.0811e+06  2.6067e+06  2.9837e+06  3.8142e+06  3.5244e+06  1.7658e+06  1.2807e+06  8.9151e+05  7.0893e+05  5.5299e+05   -99.0000    10.4782     9.2208     8.3855     8.0252     7.8091    10.0404     8.7189     8.1043     7.8598     7.7131     7.4465     7.5323     8.2827     8.6314     9.0247     9.2735     9.5432
       0.100 -9.9000e+01  1.7983e+05  5.7328e+05  1.2713e+06  1.7855e+06  2.1842e+06  2.7099e+05  9.2369e+05  1.6518e+06  2.0835e+06  2.3912e+06  3.0675e+06  2.8677e+06  1.4365e+06  1.0504e+06  7.2393e+05  5.7604e+05  4.4755e+05   -99.0000    10.7629     9.5041     8.6393     8.2706     8.0517    10.3176     8.9862     8.3551     8.1030     7.9534     7.6830     7.7562     8.5067     8.8467     9.2508     9.4989     9.7729
       0.150 -9.9000e+01  6.2367e+04  1.9861e+05  5.0203e+05  7.2885e+05  9.0993e+05  9.8983e+04  3.3761e+05  6.6574e+05  8.6644e+05  9.9580e+05  1.3140e+06  1.3138e+06  6.5136e+05  4.9423e+05  3.2775e+05  2.6017e+05  1.9739e+05   -99.0000    11.9126    10.6550     9.6482     9.2434     9.0025    11.4111    10.0790     9.3417     9.0557     8.9046     8.6035     8.6037     9.3654     9.6652    10.1111    10.3619    10.6617
       0.170 -9.9000e+01  4.3483e+04  1.3843e+05  3.7151e+05  5.4808e+05  6.9153e+05  7.1459e+04  2.4184e+05  4.9856e+05  6.5942e+05  7.5422e+05  1.0083e+06  1.0392e+06  5.1083e+05  3.9202e+05  2.5865e+05  2.0380e+05  1.5299e+05   -99.0000    12.3042    11.0470     9.9751     9.5529     9.3005    11.7649    10.4412     9.6557     9.3521     9.2062     8.8910     8.8583     9.6293     9.9167    10.3682    10.6270    10.9383
       0.190 -9.9000e+01  3.1139e+04  9.8816e+04  2.8143e+05  4.2296e+05  5.4136e+05  5.2473e+04  1.7794e+05  3.8446e+05  5.1645e+05  5.9001e+05  7.9486e+05  8.4607e+05  4.1169e+05  3.1875e+05  2.1066e+05  1.6408e+05  1.2187e+05   -99.0000    12.6667    11.4129    10.2766     9.8343     9.5663    12.1002    10.7743     9.9379     9.6174     9.4729     9.1493     9.0815     9.8636    10.1414    10.5910    10.8623    11.1852
       0.200 -9.9000e+01  2.6565e+04  8.4349e+04  2.4678e+05  3.7464e+05  4.8314e+05  4.5326e+04  1.5376e+05  3.4077e+05  4.6102e+05  5.2671e+05  7.1219e+05  7.6964e+05  3.7270e+05  2.8986e+05  1.9190e+05  1.4850e+05  1.0970e+05   -99.0000    12.8392    11.5848    10.4192     9.9660     9.6898    12.2591    10.9329    10.0689     9.7407     9.5961     9.2685     9.1843     9.9716    10.2445    10.6923    10.9707    11.2995
